Dbxref=GeneID:114882860,Genbank:XP_029055863.1
Dbxref=GeneID:114882853,Genbank:XP_029055801.1
Dbxref=GeneID:114870974,Genbank:XP_029032146.1
Dbxref=GeneID:114870962,Genbank:XP_029032122.1
Dbxref=GeneID:114870957,Genbank:XP_029032107.1
Dbxref=GeneID:114870967,Genbank:XP_029032136.1
Dbxref=GeneID:114870951,Genbank:XP_029032094.1
Dbxref=GeneID:114872173,Genbank:XP_029034918.1
Dbxref=GeneID:114872173,Genbank:XP_029034909.1
Dbxref=GeneID:114872131,Genbank:XP_029034842.1
Dbxref=GeneID:114872131,Genbank:XP_029034804.1
Dbxref=GeneID:114872131,Genbank:XP_029034824.1
Dbxref=GeneID:114872131,Genbank:XP_029034851.1
Dbxref=GeneID:114872131,Genbank:XP_029034834.1
Dbxref=GeneID:114872131,Genbank:XP_029034856.1
Dbxref=GeneID:114872131,Genbank:XP_029034814.1
Dbxref=GeneID:114872159,Genbank:XP_029034878.1
Dbxref=GeneID:114872159,Genbank:XP_029034894.1
Dbxref=GeneID:114872159,Genbank:XP_029034869.1
Dbxref=GeneID:114872159,Genbank:XP_029034888.1
Dbxref=GeneID:114872176,Genbank:XP_029034934.1
Dbxref=GeneID:114872181,Genbank:XP_029034948.1
Dbxref=GeneID:114871347,Genbank:XP_029032973.1
Dbxref=GeneID:114871347,Genbank:XP_029032964.1
Dbxref=GeneID:114871264,Genbank:XP_029032777.1
Dbxref=GeneID:114871268,Genbank:XP_029032791.1
Dbxref=GeneID:114871275,Genbank:XP_029032799.1
Dbxref=GeneID:114871255,Genbank:XP_029032765.1
Dbxref=GeneID:114871282,Genbank:XP_029032813.1
Dbxref=GeneID:114871633,Genbank:XP_029033612.1
Dbxref=GeneID:114871638,Genbank:XP_029033627.1
Dbxref=GeneID:114871638,Genbank:XP_029033636.1
Dbxref=GeneID:114871613,Genbank:XP_029033566.1
Dbxref=GeneID:114871613,Genbank:XP_029033574.1
Dbxref=GeneID:114871613,Genbank:XP_029033591.1
Dbxref=GeneID:114871613,Genbank:XP_029033584.1
Dbxref=GeneID:114871613,Genbank:XP_029033599.1
Dbxref=GeneID:114871609,Genbank:XP_029033551.1
Dbxref=GeneID:114871101,Genbank:XP_029032416.1
Dbxref=GeneID:114871112,Genbank:XP_029032443.1
Dbxref=GeneID:114871108,Genbank:XP_029032429.1
Dbxref=GeneID:114871094,Genbank:XP_029032393.1
Dbxref=GeneID:114871094,Genbank:XP_029032403.1
Dbxref=GeneID:114872182,Genbank:XP_029034964.1
Dbxref=GeneID:114872186,Genbank:XP_029034978.1
Dbxref=GeneID:114871226,Genbank:XP_029032702.1
Dbxref=GeneID:114871226,Genbank:XP_029032713.1
Dbxref=GeneID:114871226,Genbank:XP_029032730.1
Dbxref=GeneID:114871238,Genbank:XP_029032744.1
Dbxref=GeneID:114871659,Genbank:XP_029033678.1
Dbxref=GeneID:114871680,Genbank:XP_029033724.1
Dbxref=GeneID:114871680,Genbank:XP_029033734.1
Dbxref=GeneID:114871680,Genbank:XP_029033742.1
Dbxref=GeneID:114871680,Genbank:XP_029033719.1
Dbxref=GeneID:114871680,Genbank:XP_029033752.1
Dbxref=GeneID:114872192,Genbank:XP_029034991.1
Dbxref=GeneID:114871719,Genbank:XP_029033791.1
Dbxref=GeneID:114871665,Genbank:XP_029033699.1
Dbxref=GeneID:114871665,Genbank:XP_029033708.1
Dbxref=GeneID:114871665,Genbank:XP_029033691.1
Dbxref=GeneID:114871712,Genbank:XP_029033779.1
Dbxref=GeneID:114872199,Genbank:XP_029035005.1
Dbxref=GeneID:114871705,Genbank:XP_029033767.1
Dbxref=GeneID:114871390,Genbank:XP_029033049.1
Dbxref=GeneID:114871390,Genbank:XP_029033059.1
Dbxref=GeneID:114871384,Genbank:XP_029033039.1
Dbxref=GeneID:114871160,Genbank:XP_029032561.1
